Month,State,District,Update_Name,Update_Address,Update_DOB,Update_Gender,Update_Mobile
2023-11,Uttar Pradesh,Lucknow,55,122,61,45,1302
2023-11,Rajasthan,Jaipur,202,175,63,10,919
2023-11,Gujarat,Ahmedabad,88,278,74,44,988
2023-11,West Bengal,Kolkata,140,487,41,9,2223
2023-11,Bihar,Patna,153,345,47,19,2317
2023-11,Maharashtra,Pune,54,402,52,49,1305
2023-11,Maharashtra,Nagpur,148,398,32,17,1348
2023-11,Maharashtra,Thane,117,279,33,43,823
2023-11,Maharashtra,Nashik,214,435,77,40,766
2023-11,Madhya Pradesh,Indore,243,217,82,11,649
2023-11,Madhya Pradesh,Bhopal,92,386,82,37,1574
2023-11,Madhya Pradesh,Gwalior,142,216,39,46,1345
2023-11,Madhya Pradesh,Jabalpur,109,261,82,47,1796
2023-11,Gujarat,Surat,70,212,66,31,767
2023-11,Gujarat,Vadodara,153,479,50,14,2492
2023-11,Gujarat,Rajkot,75,292,25,32,1364
2023-11,Punjab,Ludhiana,89,131,61,26,1664
2023-11,Punjab,Amritsar,87,104,34,46,2180
2023-11,Punjab,Jalandhar,112,173,93,48,1221
2023-11,Andhra Pradesh,Visakhapatnam,104,424,64,12,663
2023-11,Andhra Pradesh,Vijayawada,77,482,92,44,2040
2023-11,Andhra Pradesh,Guntur,185,136,83,31,1284
2023-11,Tamil Nadu,Coimbatore,149,448,34,26,582
2023-11,Tamil Nadu,Madurai,233,176,90,37,612
2023-11,Tamil Nadu,Tiruchirappalli,185,462,40,44,974
2023-11,Uttar Pradesh,Kanpur,82,151,70,42,2435
2023-11,Uttar Pradesh,Ghaziabad,168,415,57,14,2065
2023-11,Uttar Pradesh,Agra,166,235,96,31,992
2023-11,Uttar Pradesh,Varanasi,182,224,71,3,1231
2023-11,Uttar Pradesh,Meerut,95,314,25,39,1979
2023-11,Uttar Pradesh,Prayagraj,137,142,28,49,1053
2023-11,Jharkhand,Ranchi,91,447,94,19,1360
2023-11,Jharkhand,Jamshedpur,103,245,33,45,1434
2023-11,Jharkhand,Dhanbad,177,296,84,43,1073
2023-11,Chhattisgarh,Raipur,117,321,42,1,1373
2023-11,Chhattisgarh,Bhilai,141,224,44,29,1894
