Month,State,District,Update_Fingerprint,Update_Iris,Update_Face,Child_Biometric_Updates
2023-10,Arunachal Pradesh,Tawang,344,184,70,112
2023-10,Nagaland,Kiphire,317,114,61,252
2023-10,Manipur,Churachandpur,2029,1687,303,1843
2023-10,Meghalaya,West Garo Hills,4552,1895,245,1776
2023-10,Ladakh,Leh,3113,1011,467,1066
2023-10,Mizoram,Champhai,4409,1470,991,2034
2023-10,Jammu and Kashmir,Kupwara,4330,1773,458,2950
2023-10,Jharkhand,Gumla,5332,1560,840,2946
2023-10,Odisha,Malkangiri,3925,1859,752,1745
2023-10,Chhattisgarh,Bijapur,3520,1302,775,2381
2023-10,Delhi,South Delhi,2864,1487,431,1874
2023-10,Telangana,Hyderabad,3566,1749,562,1622
2023-10,Karnataka,Bangalore Urban,4076,1431,204,2340
2023-10,Maharashtra,Mumbai Suburban,2784,1110,934,2662
2023-10,Tamil Nadu,Chennai,4503,1838,214,1450
2023-10,Kerala,Ernakulam,2479,1701,922,2578
2023-10,Uttar Pradesh,Lucknow,4617,1787,384,1411
2023-10,Rajasthan,Jaipur,5089,1923,880,1213
2023-10,Gujarat,Ahmedabad,4869,1789,629,2485
2023-10,West Bengal,Kolkata,3285,1406,232,2020
2023-10,Bihar,Patna,4152,1188,904,1979
2023-10,Maharashtra,Pune,3869,1216,779,1186
2023-10,Maharashtra,Nagpur,5443,1251,853,1934
2023-10,Maharashtra,Thane,2696,1155,847,1036
2023-10,Maharashtra,Nashik,2802,1661,731,2551
2023-10,Madhya Pradesh,Indore,5247,1794,639,2581
2023-10,Madhya Pradesh,Bhopal,3194,1950,454,2491
2023-10,Madhya Pradesh,Gwalior,4387,1600,389,2862
2023-10,Madhya Pradesh,Jabalpur,2911,1603,875,1122
2023-10,Gujarat,Surat,2562,1229,396,2518
2023-10,Gujarat,Vadodara,5852,1891,530,1894
2023-10,Gujarat,Rajkot,3543,1692,626,1937
2023-10,Punjab,Ludhiana,5127,1602,930,1191
2023-10,Punjab,Amritsar,3876,1102,513,1387
2023-10,Punjab,Jalandhar,2176,1366,463,1840
2023-10,Andhra Pradesh,Visakhapatnam,5007,1382,775,2434
2023-10,Andhra Pradesh,Vijayawada,4188,1587,991,1774
2023-10,Andhra Pradesh,Guntur,5339,1296,724,1888
2023-10,Tamil Nadu,Coimbatore,4692,1878,445,2013
2023-10,Tamil Nadu,Madurai,4145,1193,222,2666
2023-10,Tamil Nadu,Tiruchirappalli,2480,1291,241,2066
2023-10,Uttar Pradesh,Kanpur,5317,1638,262,2535
2023-10,Uttar Pradesh,Ghaziabad,5140,1710,455,2544
2023-10,Uttar Pradesh,Agra,4310,1958,587,2444
2023-10,Uttar Pradesh,Varanasi,2693,1522,769,2427
2023-10,Uttar Pradesh,Meerut,3755,1984,875,1029
2023-10,Uttar Pradesh,Prayagraj,3180,1507,960,1009
2023-10,Jharkhand,Ranchi,2317,1457,443,2999
2023-10,Jharkhand,Jamshedpur,3598,1511,721,1002
2023-10,Jharkhand,Dhanbad,2451,1189,345,1438
2023-10,Chhattisgarh,Raipur,5183,1779,844,2690
2023-10,Chhattisgarh,Bhilai,5423,1390,455,2040
